*! 12C energy loss (dE/dX) in C
*! apply ZOOM for details
*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
31.000000	0.121229  	31.000000	0.133305  	31.000000	0.131759  	31.000000	0.132042  	31.000000	0.131006  	31.000000	0.133249  	31.000000	5.58799e-05	
33.000000	0.115272  	33.000000	0.126628  	33.000000	0.125296  	33.000000	0.125521  	33.000000	0.12459   	33.000000	0.126575  	33.000000	5.27935e-05	
35.000000	0.109943  	35.000000	0.120662  	35.000000	0.119513  	35.000000	0.119688  	35.000000	0.118847  	35.000000	0.120612  	35.000000	5.00433e-05	
38.000000	0.102922  	38.000000	0.112814  	38.000000	0.111892  	38.000000	0.112003  	38.000000	0.111274  	38.000000	0.112767  	38.000000	4.64356e-05	
41.000000	0.0968526 	41.000000	0.106041  	41.000000	0.105305  	41.000000	0.105361  	41.000000	0.104722  	41.000000	0.105998  	41.000000	4.33317e-05	
44.000000	0.0915505 	44.000000	0.100135  	44.000000	0.0995352 	44.000000	0.0995587 	44.000000	0.098995  	44.000000	0.100094  	44.000000	4.06317e-05	
47.000000	0.0868763 	47.000000	0.094937  	47.000000	0.094456  	47.000000	0.0944446 	47.000000	0.0939433 	47.000000	0.0948988 	47.000000	3.82606e-05	
50.000000	0.082723  	50.000000	0.0903258 	50.000000	0.0899404 	50.000000	0.0899011 	50.000000	0.0894526 	50.000000	0.0902897 	50.000000	3.61612e-05	
55.000000	0.0767378 	55.000000	0.0836948 	55.000000	0.0834228 	55.000000	0.0833559 	55.000000	0.0829786 	55.000000	0.0836617 	55.000000	3.31485e-05	
60.000000	0.0716822 	60.000000	0.0781081 	60.000000	0.077918  	60.000000	0.0778301 	60.000000	0.0775087 	60.000000	0.0780775 	60.000000	3.0616e-05	
