*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
27.000000	0.055626  	27.000000	0.044589  	27.000000	0.0441323 	27.000000	0.0441203 	27.000000	0.0441292 	27.000000	0.0445689 	27.000000	2.01103e-05	
29.000000	0.0524846 	29.000000	0.0421756 	29.000000	0.0417095 	29.000000	0.0416945 	29.000000	0.0417075 	29.000000	0.0421567 	29.000000	1.88596e-05	
31.000000	0.049719  	31.000000	0.0400389 	31.000000	0.0395918 	31.000000	0.039576  	31.000000	0.0395921 	31.000000	0.0400211 	31.000000	1.77619e-05	
33.000000	0.0472643 	33.000000	0.0381334 	33.000000	0.0377442 	33.000000	0.0377235 	33.000000	0.0377416 	33.000000	0.0381166 	33.000000	1.67902e-05	
35.000000	0.0450699 	35.000000	0.036423  	35.000000	0.0360797 	35.000000	0.0360601 	35.000000	0.0360796 	35.000000	0.0364071 	35.000000	1.59237e-05	
38.000000	0.042181  	38.000000	0.0341619 	38.000000	0.0338818 	38.000000	0.033859  	38.000000	0.0338803 	38.000000	0.0341471 	38.000000	1.47862e-05	
41.000000	0.0396856 	41.000000	0.0322005 	41.000000	0.0319707 	41.000000	0.0319474 	41.000000	0.0319698 	41.000000	0.0321867 	41.000000	1.38068e-05	
44.000000	0.0375071 	44.000000	0.0304822 	44.000000	0.030291  	44.000000	0.0302704 	44.000000	0.0302936 	44.000000	0.0304693 	44.000000	1.29542e-05	
47.000000	0.0355877 	47.000000	0.028964  	47.000000	0.02881   	47.000000	0.0287866 	47.000000	0.0288103 	47.000000	0.0289518 	47.000000	1.22049e-05	
50.000000	0.0338828 	50.000000	0.0276125 	50.000000	0.0274872 	50.000000	0.0274636 	50.000000	0.0274877 	50.000000	0.027601  	50.000000	1.15411e-05	
55.000000	0.031427  	55.000000	0.0256612 	55.000000	0.0255755 	55.000000	0.0255498 	55.000000	0.0255742 	55.000000	0.0256506 	55.000000	1.05877e-05	
60.000000	0.0293536 	60.000000	0.0240102 	60.000000	0.0239501 	60.000000	0.0239264 	60.000000	0.0239509 	60.000000	0.0240004 	60.000000	9.78559e-06	
65.000000	0.027578  	65.000000	0.0225943 	65.000000	0.0225553 	65.000000	0.022531  	65.000000	0.0225554 	65.000000	0.0225852 	65.000000	9.10095e-06	
70.000000	0.0260393 	70.000000	0.0213662 	70.000000	0.0213426 	70.000000	0.0213179 	70.000000	0.0213422 	70.000000	0.0213577 	70.000000	8.50943e-06	
75.000000	0.024692  	75.000000	0.0202904 	75.000000	0.0202759 	75.000000	0.0202531 	75.000000	0.0202772 	75.000000	0.0202824 	75.000000	7.993e-06 	
80.000000	0.0235019 	80.000000	0.01934   	80.000000	0.0193353 	80.000000	0.0193106 	80.000000	0.0193344 	80.000000	0.0193324 	80.000000	7.53805e-06	
85.000000	0.0224424 	85.000000	0.018494  	85.000000	0.0184935 	85.000000	0.0184701 	85.000000	0.0184936 	85.000000	0.0184869 	85.000000	7.13408e-06	
90.000000	0.0214926 	90.000000	0.017736  	90.000000	0.0177381 	90.000000	0.0177157 	90.000000	0.0177389 	90.000000	0.0177292 	90.000000	6.77286e-06	
95.000000	0.020636  	95.000000	0.0170528 	95.000000	0.0170586 	95.000000	0.0170347 	95.000000	0.0170576 	95.000000	0.0170463 	95.000000	6.44787e-06	
100.000000	0.0198592 	100.000000	0.0164337 	100.000000	0.0164396 	100.000000	0.0164167 	100.000000	0.0164393 	100.000000	0.0164275 	100.000000	6.15384e-06	
105.000000	0.0191513 	105.000000	0.01587   	105.000000	0.0158752 	105.000000	0.0158532 	105.000000	0.0158756 	105.000000	0.0158641 	105.000000	5.8865e-06	
110.000000	0.0185033 	110.000000	0.0153546 	110.000000	0.0153582 	110.000000	0.0153373 	110.000000	0.0153594 	110.000000	0.0153489 	110.000000	5.64231e-06	
115.000000	0.0179078 	115.000000	0.0148814 	115.000000	0.0148849 	115.000000	0.0148632 	115.000000	0.014885  	115.000000	0.014876  	115.000000	5.41837e-06	
120.000000	0.0173584 	120.000000	0.0144454 	120.000000	0.014448  	120.000000	0.0144259 	120.000000	0.0144474 	120.000000	0.0144402 	120.000000	5.21222e-06	
125.000000	0.0168499 	125.000000	0.0140424 	125.000000	0.0140422 	125.000000	0.0140212 	125.000000	0.0140425 	125.000000	0.0140374 	125.000000	5.02179e-06	
130.000000	0.0163777 	130.000000	0.0136687 	130.000000	0.013666  	130.000000	0.0136456 	130.000000	0.0136667 	130.000000	0.0136639 	130.000000	4.84533e-06	
135.000000	0.015938  	135.000000	0.0133213 	135.000000	0.0133174 	135.000000	0.0132961 	135.000000	0.013317  	135.000000	0.0133166 	135.000000	4.68133e-06	
140.000000	0.0155275 	140.000000	0.0129973 	140.000000	0.0129914 	140.000000	0.01297   	140.000000	0.0129906 	140.000000	0.0129928 	140.000000	4.52851e-06	
145.000000	0.0151433 	145.000000	0.0126946 	145.000000	0.0126856 	145.000000	0.012665  	145.000000	0.0126854 	145.000000	0.0126902 	145.000000	4.38573e-06	
150.000000	0.0147828 	150.000000	0.0124111 	150.000000	0.0123992 	150.000000	0.0123792 	150.000000	0.0123994 	150.000000	0.0124068 	150.000000	4.25204e-06	
155.000000	0.0142753 	155.000000	0.0121449 	155.000000	0.0121301 	155.000000	0.0121107 	155.000000	0.0121307 	155.000000	0.0121408 	155.000000	4.12658e-06	
160.000000	0.0139778 	160.000000	0.0118946 	160.000000	0.0118773 	160.000000	0.0118581 	160.000000	0.0118779 	160.000000	0.0118906 	160.000000	4.00859e-06	
165.000000	0.0136973 	165.000000	0.0116588 	165.000000	0.0116398 	165.000000	0.0116199 	165.000000	0.0116395 	165.000000	0.0116549 	165.000000	3.89743e-06	
170.000000	0.0134323 	170.000000	0.0114362 	170.000000	0.011415  	170.000000	0.011395  	170.000000	0.0114145 	170.000000	0.0114324 	170.000000	3.79251e-06	
175.000000	0.0131815 	175.000000	0.0112257 	175.000000	0.0112017 	175.000000	0.0111823 	175.000000	0.0112016 	175.000000	0.0112221 	175.000000	3.69332e-06	
180.000000	0.0129439 	180.000000	0.0110265 	180.000000	0.0109998 	180.000000	0.0109809 	180.000000	0.0109999 	180.000000	0.0110229 	180.000000	3.59938e-06	
185.000000	0.0127184 	185.000000	0.0108375 	185.000000	0.0108082 	185.000000	0.0107897 	185.000000	0.0108086 	185.000000	0.010834  	185.000000	3.51029e-06	
190.000000	0.0125041 	190.000000	0.0106581 	190.000000	0.0106262 	190.000000	0.0106082 	190.000000	0.0106269 	190.000000	0.0106547 	190.000000	3.42568e-06	
195.000000	0.0123001 	195.000000	0.0104875 	195.000000	0.0104537 	195.000000	0.0104355 	195.000000	0.0104541 	195.000000	0.0104842 	195.000000	3.3452e-06	
200.000000	0.0121058 	200.000000	0.0103251 	200.000000	0.0102898 	200.000000	0.0102711 	200.000000	0.0102896 	200.000000	0.0103218 	200.000000	3.26857e-06	
210.000000	0.0117433 	210.000000	0.0100226 	210.000000	0.00998312	210.000000	0.00996478	210.000000	0.00998295	210.000000	0.0100195 	210.000000	3.12578e-06	
220.000000	0.011412  	220.000000	0.00974663	220.000000	0.0097029 	220.000000	0.00968521	220.000000	0.00970311	220.000000	0.00974363	220.000000	2.99539e-06	
230.000000	0.0111081 	230.000000	0.00949383	230.000000	0.00944605	230.000000	0.00942905	230.000000	0.00944671	230.000000	0.00949095	230.000000	2.87584e-06	
240.000000	0.0108281 	240.000000	0.00926142	240.000000	0.00921099	240.000000	0.00919353	240.000000	0.00921095	240.000000	0.00925866	240.000000	2.76582e-06	
250.000000	0.0105695 	250.000000	0.00904705	250.000000	0.00899376	250.000000	0.00897626	250.000000	0.00899347	250.000000	0.00904439	250.000000	2.66422e-06	
260.000000	0.0103298 	260.000000	0.00884871	260.000000	0.00879215	260.000000	0.00877524	260.000000	0.00879224	260.000000	0.00884614	260.000000	2.57009e-06	
270.000000	0.010107  	270.000000	0.00866468	270.000000	0.00860519	270.000000	0.00858873	270.000000	0.00860554	270.000000	0.0086622 	270.000000	2.48263e-06	
280.000000	0.00989938	280.000000	0.00849348	280.000000	0.0084313 	280.000000	0.00841525	280.000000	0.00843187	280.000000	0.00849108	280.000000	2.40115e-06	
290.000000	0.00970547	290.000000	0.00833384	290.000000	0.00827003	290.000000	0.0082535 	290.000000	0.00826995	290.000000	0.00833151	290.000000	2.32504e-06	
300.000000	0.00952394	300.000000	0.00818463	300.000000	0.00811894	300.000000	0.00810235	300.000000	0.00811863	300.000000	0.00818238	300.000000	2.25379e-06	
310.000000	0.00935366	310.000000	0.00804489	310.000000	0.00797694	310.000000	0.00796082	310.000000	0.00797695	310.000000	0.0080427 	310.000000	2.18694e-06	
320.000000	0.00919361	320.000000	0.00791375	320.000000	0.00784384	320.000000	0.00782802	320.000000	0.007844  	320.000000	0.00791162	320.000000	2.12408e-06	
330.000000	0.00904291	330.000000	0.00779046	330.000000	0.00771862	330.000000	0.0077032 	330.000000	0.00771903	330.000000	0.00778839	330.000000	2.06487e-06	
340.000000	0.00890078	340.000000	0.00767435	340.000000	0.00760095	340.000000	0.00758569	340.000000	0.00760139	340.000000	0.00767234	340.000000	2.009e-06 	
350.000000	0.00876651	350.000000	0.00756482	350.000000	0.00749053	350.000000	0.00747488	350.000000	0.00749045	350.000000	0.00756287	350.000000	1.95618e-06	
360.000000	0.00863947	360.000000	0.00746135	360.000000	0.00738598	360.000000	0.00737021	360.000000	0.00738566	360.000000	0.00745945	360.000000	1.90616e-06	
370.000000	0.00851912	370.000000	0.00736346	370.000000	0.00728679	370.000000	0.00727135	370.000000	0.00728668	370.000000	0.00736161	370.000000	1.85874e-06	
380.000000	0.00840495	380.000000	0.00727073	380.000000	0.0071929 	380.000000	0.00717773	380.000000	0.00719295	380.000000	0.00726892	380.000000	1.81371e-06	
390.000000	0.0082965 	390.000000	0.00718277	390.000000	0.00710397	390.000000	0.00708902	390.000000	0.00710413	390.000000	0.007181  	390.000000	1.77089e-06	
400.000000	0.00819337	400.000000	0.00709923	400.000000	0.00701946	400.000000	0.00700482	400.000000	0.00701982	400.000000	0.0070975 	400.000000	1.73011e-06	
410.000000	0.00809518	410.000000	0.0070198 	410.000000	0.00693929	410.000000	0.00692479	410.000000	0.0069397 	410.000000	0.00701811	410.000000	1.69125e-06	
420.000000	0.00800161	420.000000	0.0069442 	420.000000	0.00686338	420.000000	0.00684866	420.000000	0.00686347	420.000000	0.00694255	420.000000	1.65415e-06	
430.000000	0.00791234	430.000000	0.00687217	430.000000	0.00679114	430.000000	0.00677616	430.000000	0.00679088	430.000000	0.00687055	430.000000	1.61871e-06	
440.000000	0.00782709	440.000000	0.00680347	440.000000	0.00672196	440.000000	0.00670704	440.000000	0.00672168	440.000000	0.00680189	440.000000	1.58481e-06	
450.000000	0.00774562	450.000000	0.00673789	450.000000	0.00665585	450.000000	0.00664118	450.000000	0.00665572	450.000000	0.00673634	450.000000	1.55235e-06	
460.000000	0.00766768	460.000000	0.00667523	460.000000	0.00659275	460.000000	0.00657828	460.000000	0.00659274	460.000000	0.00667371	460.000000	1.52125e-06	
470.000000	0.00759306	470.000000	0.00661531	470.000000	0.00653248	470.000000	0.00651816	470.000000	0.00653255	470.000000	0.00661382	470.000000	1.49141e-06	
480.000000	0.00752157	480.000000	0.00655797	480.000000	0.0064748 	480.000000	0.00646066	480.000000	0.00647497	480.000000	0.0065565 	480.000000	1.46277e-06	
490.000000	0.00745302	490.000000	0.00650304	490.000000	0.00641954	490.000000	0.00640562	490.000000	0.00641985	490.000000	0.00650161	490.000000	1.43524e-06	
500.000000	0.00738725	500.000000	0.0064504 	500.000000	0.00636671	500.000000	0.00635288	500.000000	0.00636705	500.000000	0.00644899	500.000000	1.40877e-06	
520.000000	0.00726342	520.000000	0.00635144	520.000000	0.006268  	520.000000	0.00625384	520.000000	0.00626788	520.000000	0.00635008	520.000000	1.35876e-06	
540.000000	0.00714897	540.000000	0.00626017	540.000000	0.00617678	540.000000	0.00616258	540.000000	0.00617649	540.000000	0.00625885	540.000000	1.3123e-06	
