*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
110.000000	0.0327449 	110.000000	0.0332105 	110.000000	0.033065  	110.000000	0.0329787 	110.000000	0.0330638 	110.000000	0.0331993 	110.000000	1.11469e-05	
115.000000	0.0316911 	115.000000	0.0321529 	115.000000	0.0320102 	115.000000	0.0319231 	115.000000	0.0320082 	115.000000	0.0321422 	115.000000	1.07003e-05	
120.000000	0.030719  	120.000000	0.0311792 	120.000000	0.0310363 	120.000000	0.030951  	120.000000	0.0310359 	120.000000	0.0311689 	120.000000	1.02893e-05	
125.000000	0.0298191 	125.000000	0.0302797 	125.000000	0.0301355 	125.000000	0.0300527 	125.000000	0.0301374 	125.000000	0.0302698 	125.000000	9.90991e-06	
130.000000	0.0289836 	130.000000	0.0294462 	130.000000	0.0293033 	130.000000	0.02922   	130.000000	0.0293045 	130.000000	0.0294367 	130.000000	9.55845e-06	
135.000000	0.0282055 	135.000000	0.0286717 	135.000000	0.0285295 	135.000000	0.0284461 	135.000000	0.0285302 	135.000000	0.0286625 	135.000000	9.23195e-06	
140.000000	0.0274791 	140.000000	0.0279501 	140.000000	0.0278082 	140.000000	0.0277248 	140.000000	0.0278086 	140.000000	0.0279412 	140.000000	8.92781e-06	
145.000000	0.0267992 	145.000000	0.027276  	145.000000	0.0271344 	145.000000	0.0270509 	145.000000	0.0271343 	145.000000	0.0272674 	145.000000	8.64378e-06	
150.000000	0.0261613 	150.000000	0.026645  	150.000000	0.0265034 	150.000000	0.02642   	150.000000	0.026503  	150.000000	0.0266366 	150.000000	8.3779e-06	
155.000000	0.0252632 	155.000000	0.0260529 	155.000000	0.0259117 	155.000000	0.025828  	155.000000	0.0259105 	155.000000	0.0260448 	155.000000	8.12847e-06	
160.000000	0.0247367 	160.000000	0.0254964 	160.000000	0.0253544 	160.000000	0.0252714 	160.000000	0.0253535 	160.000000	0.0254885 	160.000000	7.89399e-06	
165.000000	0.0242403 	165.000000	0.0249722 	165.000000	0.024828  	165.000000	0.0247471 	165.000000	0.0248288 	165.000000	0.0249645 	165.000000	7.67313e-06	
