*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
290.000000	0.000658627	290.000000	0.000724846	290.000000	0.000718079	290.000000	0.00071751	290.000000	0.000714993	290.000000	0.000724644	290.000000	2.01569e-07	
300.000000	0.000646309	300.000000	0.000711317	300.000000	0.000704539	300.000000	0.000703941	300.000000	0.000701487	300.000000	0.000711122	300.000000	1.95348e-07	
310.000000	0.000634753	310.000000	0.00069865	310.000000	0.000691879	310.000000	0.000691241	310.000000	0.000688845	310.000000	0.00069846	310.000000	1.89512e-07	
320.000000	0.000623892	320.000000	0.000686765	320.000000	0.000679955	320.000000	0.000679331	320.000000	0.00067699	320.000000	0.000686581	320.000000	1.84027e-07	
330.000000	0.000613665	330.000000	0.000675593	330.000000	0.000668747	330.000000	0.000668141	330.000000	0.00066585	330.000000	0.000675414	330.000000	1.78861e-07	
340.000000	0.00060402	340.000000	0.000665073	340.000000	0.000658205	340.000000	0.000657609	340.000000	0.000655366	340.000000	0.000664899	340.000000	1.73987e-07	
350.000000	0.000594908	350.000000	0.000655151	350.000000	0.000648266	350.000000	0.00064768	350.000000	0.000645483	350.000000	0.000654982	350.000000	1.69381e-07	
360.000000	0.000586287	360.000000	0.000645779	360.000000	0.000638884	360.000000	0.000638307	360.000000	0.000636153	360.000000	0.000645614	360.000000	1.6502e-07	
370.000000	0.00057812	370.000000	0.000636913	370.000000	0.000629932	370.000000	0.000629365	370.000000	0.000627251	370.000000	0.000636752	370.000000	1.60886e-07	
380.000000	0.000570372	380.000000	0.000628515	380.000000	0.000621456	380.000000	0.000620898	380.000000	0.000618821	380.000000	0.000628358	380.000000	1.56961e-07	
390.000000	0.000563012	390.000000	0.00062055	390.000000	0.000613419	390.000000	0.00061287	390.000000	0.000610829	390.000000	0.000620396	390.000000	1.5323e-07	
400.000000	0.000556014	400.000000	0.000612985	400.000000	0.000605791	400.000000	0.000605249	400.000000	0.000603243	400.000000	0.000612835	400.000000	1.49678e-07	
410.000000	0.000549351	410.000000	0.000605793	410.000000	0.000598541	410.000000	0.000598008	410.000000	0.000596033	410.000000	0.000605647	410.000000	1.46293e-07	
420.000000	0.000543001	420.000000	0.000598948	420.000000	0.000591646	420.000000	0.000591118	420.000000	0.000589174	420.000000	0.000598805	420.000000	1.43062e-07	
430.000000	0.000536943	430.000000	0.000592426	430.000000	0.000585077	430.000000	0.000584556	430.000000	0.000582642	430.000000	0.000592286	430.000000	1.39976e-07	
440.000000	0.000531158	440.000000	0.000586206	440.000000	0.000578808	440.000000	0.000578301	440.000000	0.000576414	440.000000	0.000586069	440.000000	1.37025e-07	
450.000000	0.000525629	450.000000	0.000580269	450.000000	0.000572834	450.000000	0.000572332	450.000000	0.000570471	450.000000	0.000580134	450.000000	1.342e-07 	
460.000000	0.00052034	460.000000	0.000574595	460.000000	0.000567148	460.000000	0.00056663	460.000000	0.000564796	460.000000	0.000574464	460.000000	1.31493e-07	
470.000000	0.000515276	470.000000	0.00056917	470.000000	0.000561722	470.000000	0.000561181	470.000000	0.00055937	470.000000	0.000569041	470.000000	1.28897e-07	
