*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al
120.000000	0.312452  	120.000000	0.196536  	120.000000	0.196606  	120.000000	0.195734  	120.000000	0.1966    	120.000000	0.196472  	120.000000	6.40093e-05
125.000000	0.303301  	125.000000	0.191236  	125.000000	0.19134   	125.000000	0.190469  	125.000000	0.191336  	125.000000	0.191174  	125.000000	6.16978e-05
130.000000	0.294803  	130.000000	0.186318  	130.000000	0.186444  	130.000000	0.185576  	130.000000	0.186443  	130.000000	0.186258  	130.000000	5.95546e-05
135.000000	0.28689   	135.000000	0.181742  	135.000000	0.18188   	135.000000	0.181015  	135.000000	0.181881  	135.000000	0.181684  	135.000000	5.75619e-05
140.000000	0.279502  	140.000000	0.177473  	140.000000	0.177616  	140.000000	0.176754  	140.000000	0.177619  	140.000000	0.177417  	140.000000	5.5704e-05
145.000000	0.272587  	145.000000	0.173481  	145.000000	0.173622  	145.000000	0.172764  	145.000000	0.173626  	145.000000	0.173427  	145.000000	5.39675e-05
150.000000	0.266099  	150.000000	0.16974   	150.000000	0.169874  	150.000000	0.169019  	150.000000	0.169879  	150.000000	0.169688  	150.000000	5.23408e-05
155.000000	0.256964  	155.000000	0.166227  	155.000000	0.16635   	155.000000	0.165498  	155.000000	0.166355  	155.000000	0.166176  	155.000000	5.08136e-05
160.000000	0.25161   	160.000000	0.162921  	160.000000	0.16303   	160.000000	0.162182  	160.000000	0.163035  	160.000000	0.162872  	160.000000	4.93768e-05
165.000000	0.246561  	165.000000	0.159805  	165.000000	0.159897  	165.000000	0.159052  	165.000000	0.159902  	165.000000	0.159757  	165.000000	4.80226e-05
170.000000	0.241791  	170.000000	0.156863  	170.000000	0.156935  	170.000000	0.156094  	170.000000	0.15694   	170.000000	0.156816  	170.000000	4.6744e-05
175.000000	0.237278  	175.000000	0.15408   	175.000000	0.154131  	175.000000	0.153293  	175.000000	0.154136  	175.000000	0.154034  	175.000000	4.55346e-05
180.000000	0.233001  	180.000000	0.151444  	180.000000	0.151473  	180.000000	0.150638  	180.000000	0.151477  	180.000000	0.1514    	180.000000	4.4389e-05
185.000000	0.228942  	185.000000	0.148943  	185.000000	0.148949  	185.000000	0.148118  	185.000000	0.148953  	185.000000	0.1489    	185.000000	4.33021e-05
190.000000	0.225084  	190.000000	0.146568  	190.000000	0.14655   	190.000000	0.145722  	190.000000	0.146553  	190.000000	0.146526  	190.000000	4.22695e-05
195.000000	0.221413  	195.000000	0.144309  	195.000000	0.144267  	195.000000	0.143442  	195.000000	0.144269  	195.000000	0.144268  	195.000000	4.12872e-05
200.000000	0.217914  	200.000000	0.142158  	200.000000	0.142091  	200.000000	0.141269  	200.000000	0.142092  	200.000000	0.142117  	200.000000	4.03514e-05
210.000000	0.21139   	210.000000	0.138149  	210.000000	0.138033  	210.000000	0.137217  	210.000000	0.138033  	210.000000	0.138111  	210.000000	3.86069e-05
220.000000	0.205428  	220.000000	0.13449   	220.000000	0.134324  	220.000000	0.133515  	220.000000	0.134322  	220.000000	0.134453  	220.000000	3.70132e-05
230.000000	0.199956  	230.000000	0.131137  	230.000000	0.130923  	230.000000	0.13012   	230.000000	0.13092   	230.000000	0.131101  	230.000000	3.55512e-05
240.000000	0.194917  	240.000000	0.128052  	240.000000	0.127793  	240.000000	0.126995  	240.000000	0.127788  	240.000000	0.128018  	240.000000	3.4205e-05
