*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
380.000000	0.0378245 	380.000000	0.0253955 	380.000000	0.0251259 	380.000000	0.0250361 	380.000000	0.0251258 	380.000000	0.0253897 	380.000000	5.87092e-06	
390.000000	0.0373365 	390.000000	0.0251026 	390.000000	0.024829  	390.000000	0.0247408 	390.000000	0.0248298 	390.000000	0.0250969 	390.000000	5.73307e-06	
400.000000	0.0368724 	400.000000	0.0248243 	400.000000	0.0245489 	400.000000	0.0244604 	400.000000	0.0245489 	400.000000	0.0248187 	400.000000	5.6018e-06	
410.000000	0.0364305 	410.000000	0.0245597 	410.000000	0.0242832 	410.000000	0.024194  	410.000000	0.0242819 	410.000000	0.0245542 	410.000000	5.47664e-06	
420.000000	0.0360094 	420.000000	0.0243078 	420.000000	0.0240292 	420.000000	0.0239405 	420.000000	0.0240279 	420.000000	0.0243025 	420.000000	5.35717e-06	
430.000000	0.0356077 	430.000000	0.0240678 	430.000000	0.0237863 	430.000000	0.0236993 	430.000000	0.0237861 	430.000000	0.0240625 	430.000000	5.24301e-06	
440.000000	0.035224  	440.000000	0.0238388 	440.000000	0.0235548 	440.000000	0.0234693 	440.000000	0.0235556 	440.000000	0.0238337 	440.000000	5.1338e-06	
450.000000	0.0348574 	450.000000	0.0236203 	450.000000	0.0233345 	450.000000	0.0232499 	450.000000	0.0233358 	450.000000	0.0236152 	450.000000	5.02923e-06	
460.000000	0.0345066 	460.000000	0.0234114 	460.000000	0.0231252 	460.000000	0.0230405 	460.000000	0.0231259 	460.000000	0.0234065 	460.000000	4.929e-06 	
470.000000	0.0341708 	470.000000	0.0232116 	470.000000	0.0229257 	470.000000	0.0228404 	470.000000	0.0229253 	470.000000	0.0232068 	470.000000	4.83284e-06	
480.000000	0.0338491 	480.000000	0.0230204 	480.000000	0.0227345 	480.000000	0.022649  	480.000000	0.0227335 	480.000000	0.0230157 	480.000000	4.74051e-06	
490.000000	0.0335406 	490.000000	0.0228373 	490.000000	0.0225506 	490.000000	0.0224659 	490.000000	0.02255   	490.000000	0.0228326 	490.000000	4.65178e-06	
500.000000	0.0332446 	500.000000	0.0226617 	500.000000	0.0223741 	500.000000	0.0222905 	500.000000	0.0223742 	500.000000	0.0226572 	500.000000	4.56644e-06	
520.000000	0.0326874 	520.000000	0.0223317 	520.000000	0.0220427 	520.000000	0.0219613 	520.000000	0.0220442 	520.000000	0.0223273 	520.000000	4.40517e-06	
540.000000	0.0321723 	540.000000	0.0220272 	540.000000	0.0217398 	540.000000	0.0216582 	540.000000	0.0217404 	540.000000	0.022023  	540.000000	4.25533e-06	
560.000000	0.0316952 	560.000000	0.0217457 	560.000000	0.0214605 	560.000000	0.0213785 	560.000000	0.02146   	560.000000	0.0217416 	560.000000	4.11572e-06	
580.000000	0.0312523 	580.000000	0.0214848 	580.000000	0.0212002 	580.000000	0.0211197 	580.000000	0.0212006 	580.000000	0.0214808 	580.000000	3.98532e-06	
600.000000	0.0308404 	600.000000	0.0212425 	600.000000	0.0209602 	600.000000	0.02088   	600.000000	0.0209602 	600.000000	0.0212386 	600.000000	3.86324e-06	
620.000000	0.0304565 	620.000000	0.0210171 	620.000000	0.0207383 	620.000000	0.0206573 	620.000000	0.020737  	620.000000	0.0210133 	620.000000	3.74869e-06	
640.000000	0.0300983 	640.000000	0.020807  	640.000000	0.0205305 	640.000000	0.0204502 	640.000000	0.0205294 	640.000000	0.0208034 	640.000000	3.641e-06 	
660.000000	0.0297635 	660.000000	0.0206109 	660.000000	0.020336  	660.000000	0.0202572 	660.000000	0.0203359 	660.000000	0.0206074 	660.000000	3.53954e-06	
680.000000	0.0294502 	680.000000	0.0204276 	680.000000	0.0201547 	680.000000	0.0200772 	680.000000	0.0201554 	680.000000	0.0204242 	680.000000	3.4438e-06	
700.000000	0.0291565 	700.000000	0.0202561 	700.000000	0.0199861 	700.000000	0.019909  	700.000000	0.0199867 	700.000000	0.0202527 	700.000000	3.35329e-06	
720.000000	0.028881  	720.000000	0.0200953 	720.000000	0.0198291 	720.000000	0.0197515 	720.000000	0.0198289 	720.000000	0.020092  	720.000000	3.2676e-06	
740.000000	0.0286223 	740.000000	0.0199444 	740.000000	0.019682  	740.000000	0.0196041 	740.000000	0.019681  	740.000000	0.0199412 	740.000000	3.18634e-06	
760.000000	0.028379  	760.000000	0.0198027 	760.000000	0.0195431 	760.000000	0.0194658 	760.000000	0.0195423 	760.000000	0.0197995 	760.000000	3.10917e-06	
780.000000	0.0281502 	780.000000	0.0196694 	780.000000	0.0194123 	780.000000	0.0193359 	780.000000	0.0194121 	780.000000	0.0196664 	780.000000	3.03579e-06	
800.000000	0.0279347 	800.000000	0.019544  	800.000000	0.0192891 	800.000000	0.0192138 	800.000000	0.0192896 	800.000000	0.0195411 	800.000000	2.96592e-06	
820.000000	0.0277316 	820.000000	0.019426  	820.000000	0.0191735 	820.000000	0.019099  	820.000000	0.0191745 	820.000000	0.0194231 	820.000000	2.89932e-06	
