*Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
8801.498951	9.74517e+06	1.03972e+07	1.18815e+07	1.19312e+07	28052     	41768.4   	10926.9   	11431.5   	16538.4   
8895.131908	9.81685e+06	1.04875e+07	1.20068e+07	1.2057e+07	28209.5   	42312.5   	10995     	11507.6   	16652.9   
8988.764865	9.88853e+06	1.05778e+07	1.21321e+07	1.21828e+07	28367     	42856.5   	11063     	11583.7   	16767.5   
9082.397822	9.95741e+06	1.06659e+07	1.22568e+07	1.2308e+07	28519.5   	43408.1   	11129.4   	11657.7   	16879.1   
9176.030779	1.00259e+07	1.07538e+07	1.23815e+07	1.24332e+07	28671.3   	43960.7   	11195.5   	11731.5   	16990.2   
9269.663736	1.00944e+07	1.08416e+07	1.25062e+07	1.25583e+07	28823.1   	44513.3   	11261.7   	11805.2   	17101.3   
9363.296693	1.01629e+07	1.09295e+07	1.26308e+07	1.26835e+07	28974.9   	45065.8   	11327.8   	11879     	17212.5   
9456.929650	1.02314e+07	1.10173e+07	1.27555e+07	1.28086e+07	29126.7   	45618.4   	11393.9   	11952.7   	17323.6   
9550.562607	1.02983e+07	1.11039e+07	1.28798e+07	1.29334e+07	29275.7   	46175.7   	11459.1   	12025.3   	17433.1   
9644.195564	1.03638e+07	1.11895e+07	1.30039e+07	1.30579e+07	29422.3   	46736.8   	11523.5   	12096.9   	17541.1   
9737.828521	1.04293e+07	1.1275e+07	1.31279e+07	1.31824e+07	29569     	47298     	11587.9   	12168.5   	17649.1   
9831.461478	1.04948e+07	1.13606e+07	1.3252e+07	1.3307e+07	29715.6   	47859.2   	11652.3   	12240.1   	17757.1   
9925.094434	1.05603e+07	1.14461e+07	1.3376e+07	1.34315e+07	29862.3   	48420.3   	11716.7   	12311.7   	17865.2   
10018.727391	1.0625e+07	1.1531e+07	1.34999e+07	1.35558e+07	30007.5   	48984     	11780.7   	12382.7   	17972.4   
10112.360348	1.06864e+07	1.16133e+07	1.36231e+07	1.36795e+07	30147.3   	49557.9   	11842.8   	12451.5   	18076.3   
10205.993305	1.07478e+07	1.16956e+07	1.37463e+07	1.38032e+07	30287     	50131.8   	11905     	12520.2   	18180.1   
10299.626262	1.08093e+07	1.17779e+07	1.38695e+07	1.39268e+07	30426.7   	50705.6   	11967.2   	12589     	18284     
10393.259219	1.08707e+07	1.18602e+07	1.39927e+07	1.40505e+07	30566.5   	51279.5   	12029.3   	12657.7   	18387.9   
10486.892176	1.09321e+07	1.19425e+07	1.41159e+07	1.41742e+07	30706.2   	51853.4   	12091.5   	12726.5   	18491.8   
10580.525133	1.09935e+07	1.20248e+07	1.42391e+07	1.42978e+07	30845.9   	52427.2   	12153.6   	12795.2   	18595.7   
10674.158090	1.10549e+07	1.21072e+07	1.43623e+07	1.44215e+07	30985.7   	53001.1   	12215.8   	12864     	18699.6   
10767.791047	1.11163e+07	1.21895e+07	1.44855e+07	1.45451e+07	31125.4   	53575     	12278     	12932.7   	18803.4   
10861.424004	1.11777e+07	1.22718e+07	1.46087e+07	1.46688e+07	31265.2   	54148.8   	12340.1   	13001.5   	18907.3   
10955.056961	1.12391e+07	1.23541e+07	1.47319e+07	1.47925e+07	31404.9   	54722.7   	12402.3   	13070.2   	19011.2   
11048.689918	1.1298e+07	1.24343e+07	1.48546e+07	1.49156e+07	31540.5   	55304.9   	12463.1   	13137.3   	19112.6   
11142.322875	1.13544e+07	1.25127e+07	1.49767e+07	1.50382e+07	31672.2   	55894.8   	12522.8   	13202.7   	19211.7   
11235.955831	1.14109e+07	1.2591e+07	1.50988e+07	1.51608e+07	31803.9   	56484.7   	12582.4   	13268.2   	19310.8   
11329.588788	1.14674e+07	1.26694e+07	1.5221e+07	1.52834e+07	31935.6   	57074.6   	12642     	13333.7   	19409.9   
11423.221745	1.15239e+07	1.27477e+07	1.53431e+07	1.5406e+07	32067.3   	57664.5   	12701.6   	13399.1   	19509     
11516.854702	1.15803e+07	1.2826e+07	1.54653e+07	1.55286e+07	32199     	58254.4   	12761.3   	13464.6   	19608.1   
11610.487659	1.16368e+07	1.29044e+07	1.55874e+07	1.56512e+07	32330.7   	58844.3   	12820.9   	13530.1   	19707.2   
