*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al
130.000000	0.0479826 	130.000000	0.0459423 	130.000000	0.0457265 	130.000000	0.0455578 	130.000000	0.0457264 	130.000000	0.0459263 	130.000000	1.60797e-05
135.000000	0.0466946 	135.000000	0.0447535 	135.000000	0.0445408 	135.000000	0.0443727 	135.000000	0.044541  	135.000000	0.044738  	135.000000	1.55336e-05
140.000000	0.0454921 	140.000000	0.0436455 	140.000000	0.0434352 	140.000000	0.0432677 	140.000000	0.0434358 	140.000000	0.0436305 	140.000000	1.50248e-05
145.000000	0.0443666 	145.000000	0.0426102 	145.000000	0.0424018 	145.000000	0.0422349 	145.000000	0.0424025 	145.000000	0.0425957 	145.000000	1.45495e-05
150.000000	0.0433107 	150.000000	0.0416408 	150.000000	0.0414337 	150.000000	0.0412676 	150.000000	0.0414347 	150.000000	0.0416267 	150.000000	1.41045e-05
155.000000	0.0418239 	155.000000	0.0407309 	155.000000	0.040525  	155.000000	0.0403595 	155.000000	0.040526  	155.000000	0.0407173 	155.000000	1.36869e-05
160.000000	0.0409524 	160.000000	0.0398754 	160.000000	0.0396703 	160.000000	0.0395055 	160.000000	0.0396713 	160.000000	0.0398621 	160.000000	1.32943e-05
165.000000	0.0401306 	165.000000	0.0390695 	165.000000	0.038865  	165.000000	0.0387008 	165.000000	0.038866  	165.000000	0.0390565 	165.000000	1.29244e-05
170.000000	0.0393543 	170.000000	0.0383089 	170.000000	0.0381048 	170.000000	0.0379413 	170.000000	0.0381058 	170.000000	0.0382963 	170.000000	1.25753e-05
175.000000	0.0386197 	175.000000	0.0375899 	175.000000	0.0373861 	175.000000	0.0372232 	175.000000	0.037387  	175.000000	0.0375777 	175.000000	1.22453e-05
180.000000	0.0379236 	180.000000	0.0369092 	180.000000	0.0367057 	180.000000	0.0365434 	180.000000	0.0367065 	180.000000	0.0368973 	180.000000	1.19329e-05
