Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
340.000000	0.0226828 	340.000000	0.0232484 	340.000000	0.0230613 	340.000000	0.0229418 	340.000000	0.0230604 	340.000000	0.0232428 	340.000000	5.61623e-06	
350.000000	0.0223406 	350.000000	0.0229    	350.000000	0.0227146 	350.000000	0.0225954 	350.000000	0.0227133 	350.000000	0.0228945 	350.000000	5.4675e-06	
360.000000	0.0220169 	360.000000	0.0225709 	360.000000	0.0223863 	360.000000	0.0222685 	360.000000	0.0223855 	360.000000	0.0225656 	360.000000	5.32672e-06	
370.000000	0.0217102 	370.000000	0.0222596 	370.000000	0.022075  	370.000000	0.0219593 	370.000000	0.0220756 	370.000000	0.0222544 	370.000000	5.19325e-06	
380.000000	0.0214192 	380.000000	0.0219647 	380.000000	0.0217813 	380.000000	0.0216666 	380.000000	0.0217822 	380.000000	0.0219596 	380.000000	5.06653e-06	
390.000000	0.0211429 	390.000000	0.021685  	390.000000	0.0215036 	390.000000	0.0213891 	390.000000	0.021504  	390.000000	0.0216801 	390.000000	4.94606e-06	
400.000000	0.02088   	400.000000	0.0214194 	400.000000	0.0212399 	400.000000	0.0211258 	400.000000	0.02124   	400.000000	0.0214146 	400.000000	4.83138e-06	
410.000000	0.0206298 	410.000000	0.0211669 	410.000000	0.0209891 	410.000000	0.0208755 	410.000000	0.020989  	410.000000	0.0211622 	410.000000	4.72208e-06	
420.000000	0.0203914 	420.000000	0.0209266 	420.000000	0.0207505 	420.000000	0.0206374 	420.000000	0.0207503 	420.000000	0.020922  	420.000000	4.61778e-06	
430.000000	0.0201639 	430.000000	0.0206976 	430.000000	0.0205234 	430.000000	0.0204106 	430.000000	0.0205229 	430.000000	0.0206931 	430.000000	4.51815e-06	
