*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
150.000000	0.0142595 	150.000000	0.0164811 	150.000000	0.0165256 	150.000000	0.0164662 	150.000000	0.0165053 	150.000000	0.0164751 	150.000000	5.93892e-06	
155.000000	0.01377   	155.000000	0.016115  	155.000000	0.0161568 	155.000000	0.0160976 	155.000000	0.016137  	155.000000	0.0161092 	155.000000	5.76246e-06	
160.000000	0.0134831 	160.000000	0.0157708 	160.000000	0.01581   	160.000000	0.0157511 	160.000000	0.0157908 	160.000000	0.0157652 	160.000000	5.59656e-06	
165.000000	0.0132125 	165.000000	0.0154466 	165.000000	0.0154834 	165.000000	0.0154247 	165.000000	0.0154647 	165.000000	0.0154412 	165.000000	5.4403e-06	
170.000000	0.0129569 	170.000000	0.0151408 	170.000000	0.0151753 	170.000000	0.0151168 	170.000000	0.015157  	170.000000	0.0151355 	170.000000	5.29284e-06	
175.000000	0.0127151 	175.000000	0.0148517 	175.000000	0.0148841 	175.000000	0.0148259 	175.000000	0.0148662 	175.000000	0.0148466 	175.000000	5.15345e-06	
180.000000	0.0124859 	180.000000	0.0145781 	180.000000	0.0146085 	180.000000	0.0145505 	180.000000	0.0145909 	180.000000	0.0145731 	180.000000	5.02149e-06	
185.000000	0.0122683 	185.000000	0.0143187 	185.000000	0.0143473 	185.000000	0.0142895 	185.000000	0.01433   	185.000000	0.0143138 	185.000000	4.89635e-06	
190.000000	0.0120616 	190.000000	0.0140725 	190.000000	0.0140993 	190.000000	0.0140417 	190.000000	0.0140823 	190.000000	0.0140677 	190.000000	4.77753e-06	
195.000000	0.0118649 	195.000000	0.0138385 	195.000000	0.0138636 	195.000000	0.0138062 	195.000000	0.0138469 	195.000000	0.0138338 	195.000000	4.66455e-06	
