*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
12.000000	1.43155e-06	12.000000	1.48966e-06	12.000000	1.40601e-06	12.000000	1.40617e-06	12.000000	1.40585e-06	12.000000	1.48899e-06	12.000000	6.67051e-10	
13.000000	1.34082e-06	13.000000	1.38959e-06	13.000000	1.31585e-06	13.000000	1.31602e-06	13.000000	1.31563e-06	13.000000	1.38897e-06	13.000000	6.20574e-10	
14.000000	1.26188e-06	14.000000	1.30312e-06	14.000000	1.23748e-06	14.000000	1.23765e-06	14.000000	1.2372e-06	14.000000	1.30254e-06	14.000000	5.80404e-10	
15.000000	1.19252e-06	15.000000	1.22761e-06	15.000000	1.16871e-06	15.000000	1.16887e-06	15.000000	1.16839e-06	15.000000	1.22706e-06	15.000000	5.45322e-10	
16.000000	1.13108e-06	16.000000	1.16107e-06	16.000000	1.10787e-06	16.000000	1.10803e-06	16.000000	1.10752e-06	16.000000	1.16055e-06	16.000000	5.14407e-10	
17.000000	1.07624e-06	17.000000	1.10197e-06	17.000000	1.05369e-06	17.000000	1.05382e-06	17.000000	1.05331e-06	17.000000	1.10148e-06	17.000000	4.86948e-10	
18.000000	1.02698e-06	18.000000	1.0491e-06	18.000000	1.00514e-06	18.000000	1.00524e-06	18.000000	1.00472e-06	18.000000	1.04864e-06	18.000000	4.62389e-10	
19.000000	9.8247e-07	19.000000	1.00152e-06	19.000000	9.61375e-07	19.000000	9.61452e-07	19.000000	9.6093e-07	19.000000	1.00108e-06	19.000000	4.40287e-10	
20.000000	9.42044e-07	20.000000	9.58451e-07	20.000000	9.21716e-07	20.000000	9.21793e-07	20.000000	9.21275e-07	20.000000	9.58031e-07	20.000000	4.20287e-10	
21.000000	9.05155e-07	21.000000	9.1928e-07	21.000000	8.85632e-07	21.000000	8.85715e-07	21.000000	8.85205e-07	21.000000	9.18878e-07	21.000000	4.02097e-10	
22.000000	8.7135e-07	22.000000	8.83489e-07	22.000000	8.52704e-07	22.000000	8.52767e-07	22.000000	8.52267e-07	22.000000	8.83103e-07	22.000000	3.85481e-10	
23.000000	8.40249e-07	23.000000	8.50652e-07	23.000000	8.22549e-07	23.000000	8.22568e-07	23.000000	8.22079e-07	23.000000	8.50282e-07	23.000000	3.70238e-10	
24.000000	8.11536e-07	24.000000	8.20413e-07	24.000000	7.94825e-07	24.000000	7.94799e-07	24.000000	7.94324e-07	24.000000	8.20057e-07	24.000000	3.56204e-10	
25.000000	7.8494e-07	25.000000	7.92471e-07	25.000000	7.69255e-07	25.000000	7.6919e-07	25.000000	7.68729e-07	25.000000	7.92128e-07	25.000000	3.43238e-10	
27.000000	7.37212e-07	27.000000	7.42489e-07	27.000000	7.23718e-07	27.000000	7.23553e-07	27.000000	7.23124e-07	27.000000	7.42169e-07	27.000000	3.20051e-10	
29.000000	6.9558e-07	29.000000	6.99065e-07	29.000000	6.84366e-07	29.000000	6.8416e-07	29.000000	6.83764e-07	29.000000	6.98765e-07	29.000000	2.99914e-10	
31.000000	6.58926e-07	31.000000	6.60971e-07	31.000000	6.49399e-07	31.000000	6.49182e-07	31.000000	6.48837e-07	31.000000	6.60689e-07	31.000000	2.82254e-10	
33.000000	6.26394e-07	33.000000	6.27271e-07	33.000000	6.17814e-07	33.000000	6.1753e-07	33.000000	6.17246e-07	33.000000	6.27004e-07	33.000000	2.66635e-10	
35.000000	5.97312e-07	35.000000	5.97234e-07	35.000000	5.89459e-07	35.000000	5.8919e-07	35.000000	5.88956e-07	35.000000	5.96982e-07	35.000000	2.52719e-10	
38.000000	5.59025e-07	38.000000	5.57827e-07	38.000000	5.52128e-07	38.000000	5.51815e-07	38.000000	5.51642e-07	38.000000	5.57592e-07	38.000000	2.34467e-10	
41.000000	5.25954e-07	41.000000	5.23915e-07	41.000000	5.19792e-07	41.000000	5.19472e-07	41.000000	5.19348e-07	41.000000	5.23696e-07	41.000000	2.18766e-10	
44.000000	4.97083e-07	44.000000	4.94411e-07	44.000000	4.91476e-07	44.000000	4.91193e-07	44.000000	4.91108e-07	44.000000	4.94206e-07	44.000000	2.05111e-10	
47.000000	4.71644e-07	47.000000	4.68497e-07	47.000000	4.66566e-07	47.000000	4.66244e-07	47.000000	4.66191e-07	47.000000	4.68304e-07	47.000000	1.9312e-10	
50.000000	4.49049e-07	50.000000	4.45549e-07	50.000000	4.44386e-07	50.000000	4.44061e-07	50.000000	4.44035e-07	50.000000	4.45366e-07	50.000000	1.82505e-10	
55.000000	4.16503e-07	55.000000	4.12613e-07	55.000000	4.12427e-07	55.000000	4.12074e-07	55.000000	4.12082e-07	55.000000	4.12446e-07	55.000000	1.67274e-10	
60.000000	3.89023e-07	60.000000	3.84923e-07	60.000000	3.85365e-07	60.000000	3.8504e-07	60.000000	3.85075e-07	60.000000	3.84768e-07	60.000000	1.54474e-10	
65.000000	3.65492e-07	65.000000	3.61304e-07	65.000000	3.62209e-07	65.000000	3.61876e-07	65.000000	3.61931e-07	65.000000	3.61161e-07	65.000000	1.43558e-10	
70.000000	3.45099e-07	70.000000	3.40912e-07	70.000000	3.42134e-07	70.000000	3.41796e-07	70.000000	3.41867e-07	70.000000	3.40778e-07	70.000000	1.34135e-10	
75.000000	3.27244e-07	75.000000	3.23119e-07	75.000000	3.24526e-07	75.000000	3.24215e-07	75.000000	3.24299e-07	75.000000	3.22994e-07	75.000000	1.25915e-10	
80.000000	3.11471e-07	80.000000	3.07455e-07	80.000000	3.09027e-07	80.000000	3.08688e-07	80.000000	3.08783e-07	80.000000	3.07336e-07	80.000000	1.18679e-10	
85.000000	2.97429e-07	85.000000	2.93554e-07	85.000000	2.95192e-07	85.000000	2.94871e-07	85.000000	2.94974e-07	85.000000	2.93442e-07	85.000000	1.12258e-10	
90.000000	2.84842e-07	90.000000	2.81132e-07	90.000000	2.828e-07 	90.000000	2.82493e-07	90.000000	2.82603e-07	90.000000	2.81026e-07	90.000000	1.0652e-10	
95.000000	2.73489e-07	95.000000	2.69963e-07	95.000000	2.71667e-07	95.000000	2.71338e-07	95.000000	2.71454e-07	95.000000	2.69861e-07	95.000000	1.01361e-10	
100.000000	2.63195e-07	100.000000	2.59863e-07	100.000000	2.61547e-07	100.000000	2.61232e-07	100.000000	2.61353e-07	100.000000	2.59767e-07	100.000000	9.66954e-11	
105.000000	2.53813e-07	105.000000	2.50686e-07	105.000000	2.52334e-07	105.000000	2.52032e-07	105.000000	2.52157e-07	105.000000	2.50594e-07	105.000000	9.24557e-11	
110.000000	2.45225e-07	110.000000	2.42309e-07	110.000000	2.43907e-07	110.000000	2.4362e-07	110.000000	2.43749e-07	110.000000	2.4222e-07	110.000000	8.85853e-11	
115.000000	2.37332e-07	115.000000	2.34631e-07	115.000000	2.36196e-07	115.000000	2.35899e-07	115.000000	2.3603e-07	115.000000	2.34546e-07	115.000000	8.50373e-11	
120.000000	2.30051e-07	120.000000	2.27567e-07	120.000000	2.29089e-07	120.000000	2.28786e-07	120.000000	2.28919e-07	120.000000	2.27485e-07	120.000000	8.17725e-11	
125.000000	2.23311e-07	125.000000	2.21046e-07	125.000000	2.22499e-07	125.000000	2.22211e-07	125.000000	2.22347e-07	125.000000	2.20967e-07	125.000000	7.87581e-11	
130.000000	2.17054e-07	130.000000	2.15006e-07	130.000000	2.16395e-07	130.000000	2.16116e-07	130.000000	2.16253e-07	130.000000	2.1493e-07	130.000000	7.59658e-11	
135.000000	2.11227e-07	135.000000	2.09397e-07	135.000000	2.10741e-07	135.000000	2.10449e-07	135.000000	2.10587e-07	135.000000	2.09324e-07	135.000000	7.33718e-11	
